"","GSM3317067","GSM3317068","GSM3317069","GSM3317070","GSM3317071","GSM3317072"
"ENSMUSG00000001739",233,145,516,349,484,597
"ENSMUSG00000001741",5,0,4,0,1,0
"ENSMUSG00000001750",0,0,7,6,0,2
"ENSMUSG00000001751",9,10,14,9,5,29
"ENSMUSG00000001755",69,110,149,95,68,114
"ENSMUSG00000001761",0,1,0,0,0,0
"ENSMUSG00000001763",122,117,113,111,182,141
"ENSMUSG00000001767",7637,8362,9759,6583,8536,8226
"ENSMUSG00000001768",189,261,241,150,230,200
"ENSMUSG00000001773",4,21,28,14,18,3
"ENSMUSG00000001774",1070,1135,1297,835,791,1195
"ENSMUSG00000001783",436,503,473,417,391,362
"ENSMUSG00000001785",31,35,68,33,42,42
"ENSMUSG00000001786",743,694,807,667,741,807
"ENSMUSG00000001794",72,74,73,62,76,89
"ENSMUSG00000001802",0,0,0,0,0,0
"ENSMUSG00000001804",0,0,0,0,0,0
"ENSMUSG00000001815",0,4,0,1,0,0
"ENSMUSG00000001819",25,18,32,23,10,84
"ENSMUSG00000001823",4,3,8,0,0,7
"ENSMUSG00000001827",0,0,0,0,0,0
"ENSMUSG00000001829",317,324,314,314,419,583
"ENSMUSG00000001833",1439,1203,1322,930,1260,1101
"ENSMUSG00000001844",81,49,81,61,46,99
"ENSMUSG00000001847",7639,8076,9842,8036,10046,9901
"ENSMUSG00000001855",3135,3349,3794,3023,3943,3607
"ENSMUSG00000001864",0,0,0,0,0,0
"ENSMUSG00000001865",0,0,1,3,2,3
"ENSMUSG00000001870",0,0,0,0,2,0
"ENSMUSG00000001891",334,256,293,267,322,305
"ENSMUSG00000001901",0,0,0,0,0,0
"ENSMUSG00000001909",80,95,72,147,148,145
"ENSMUSG00000001910",53,105,145,90,108,97
"ENSMUSG00000001911",161,150,306,180,144,178
"ENSMUSG00000001918",0,0,0,13,0,0
"ENSMUSG00000001924",1065,1400,1921,1164,1602,2077
"ENSMUSG00000001930",20,8,15,16,40,12
"ENSMUSG00000001942",205,215,365,150,364,211
"ENSMUSG00000001943",0,0,0,0,0,0
"ENSMUSG00000001946",0,0,0,0,5,0
"ENSMUSG00000001948",76,73,98,136,77,115
"ENSMUSG00000001962",275,306,328,359,380,347
"ENSMUSG00000001964",179,155,158,155,217,184
"ENSMUSG00000001983",14,31,18,29,16,20
