"","GSM6996077","GSM6996078","GSM6996079","GSM6996080","GSM6996081","GSM6996082"
"ENSMUSG00000000706",0,0,0,0,1,1
"ENSMUSG00000000708",1686,1519,1633,1645,1775,1643
"ENSMUSG00000000711",1337,790,1195,1259,1386,1188
"ENSMUSG00000000724",0,0,0,0,0,0
"ENSMUSG00000000730",1,3,4,3,4,1
"ENSMUSG00000000731",3,0,0,0,0,0
"ENSMUSG00000000732",169,142,164,91,108,126
"ENSMUSG00000000738",1218,1204,1303,1318,1279,1220
"ENSMUSG00000000739",20,9,13,13,5,6
"ENSMUSG00000000740",2246,3525,3004,2859,2291,1928
"ENSMUSG00000000743",849,793,973,920,819,711
"ENSMUSG00000000751",886,809,988,858,805,788
"ENSMUSG00000000753",518,265,333,367,271,168
"ENSMUSG00000000759",431,318,400,390,389,339
"ENSMUSG00000000766",0,0,0,0,0,0
"ENSMUSG00000000776",209,237,270,232,238,228
"ENSMUSG00000000782",205,49,7,27,23,12
"ENSMUSG00000000787",5226,3406,3940,4864,4930,4261
"ENSMUSG00000000791",1,0,2,2,2,0
"ENSMUSG00000000792",4,6,3,1,1,2
"ENSMUSG00000000794",46,24,27,32,24,50
"ENSMUSG00000000804",527,370,415,499,522,465
"ENSMUSG00000000805",250,384,346,309,340,355
"ENSMUSG00000000811",320,184,277,269,248,252
"ENSMUSG00000000817",0,1,0,2,2,0
"ENSMUSG00000000823",379,297,375,339,303,290
"ENSMUSG00000000826",1325,943,1298,1341,1215,1215
"ENSMUSG00000000827",766,801,809,782,717,611
"ENSMUSG00000000838",438,311,260,340,288,261
"ENSMUSG00000000861",37,34,25,49,43,55
"ENSMUSG00000000869",1,1,1,0,0,0
"ENSMUSG00000000876",404,339,420,367,344,348
"ENSMUSG00000000881",124,153,156,151,122,101
"ENSMUSG00000000884",43,42,37,39,32,29
"ENSMUSG00000000889",32,66,58,22,19,25
"ENSMUSG00000000901",194,186,181,193,120,117
"ENSMUSG00000000902",355,274,359,320,226,269
"ENSMUSG00000000903",2,0,2,0,0,0
"ENSMUSG00000000915",302,212,337,298,289,296
"ENSMUSG00000000916",186,153,221,174,145,185
"ENSMUSG00000000934",77,91,106,90,88,66
"ENSMUSG00000000938",0,3,3,0,0,0
"ENSMUSG00000000942",7,4,2,3,6,4
"ENSMUSG00000000948",73,21,21,61,53,49
"ENSMUSG00000000957",265,163,161,230,176,208
"ENSMUSG00000000958",360,31,251,39,30,32
"ENSMUSG00000000959",1020,873,1354,1121,1099,1132
"ENSMUSG00000000976",224,123,162,197,184,147
"ENSMUSG00000000982",1,3,0,3,1,0
"ENSMUSG00000000983",1,0,0,1,0,0
"ENSMUSG00000001014",10,13,14,5,6,10
"ENSMUSG00000001016",524,397,561,591,472,375
"ENSMUSG00000001017",1614,1526,1521,1567,1562,1350
"ENSMUSG00000001018",1020,1059,1047,1102,1077,949
"ENSMUSG00000001020",0,0,0,0,0,0
"ENSMUSG00000001021",0,0,0,0,1,0
"ENSMUSG00000001023",0,0,0,0,0,0
"ENSMUSG00000001025",521,475,465,430,325,221
"ENSMUSG00000001027",440,345,337,469,523,674
"ENSMUSG00000001029",302,230,280,356,251,207
"ENSMUSG00000001034",91,76,113,98,85,77
"ENSMUSG00000001036",653,408,605,548,564,511
"ENSMUSG00000001039",44,34,35,39,21,37
"ENSMUSG00000001052",578,346,474,423,434,430
"ENSMUSG00000001053",142,107,140,161,144,119
"ENSMUSG00000001054",218,135,228,206,175,175
"ENSMUSG00000001056",134,233,156,203,149,93
"ENSMUSG00000001062",302,284,342,337,285,283
"ENSMUSG00000001065",292,258,348,222,250,283
"ENSMUSG00000001076",1,0,0,0,2,0
"ENSMUSG00000001082",120,93,99,74,73,64
"ENSMUSG00000001089",989,571,766,840,755,778
"ENSMUSG00000001095",0,0,0,2,0,0
"ENSMUSG00000001098",906,621,845,849,810,780
"ENSMUSG00000001100",1470,1253,1665,1600,1502,1475
"ENSMUSG00000001103",0,2,0,0,4,1
"ENSMUSG00000001105",338,356,370,334,302,258
"ENSMUSG00000001119",1622,841,1097,1502,1400,1163
"ENSMUSG00000001120",51,24,29,26,19,32
"ENSMUSG00000001123",460,254,471,554,414,317
"ENSMUSG00000001127",1358,1316,1294,1390,1267,1130
"ENSMUSG00000001128",139,151,138,162,106,80
"ENSMUSG00000001131",35,26,28,30,10,17
