"","EU181","EU182","EU183","EU184","EU185","EU186","EU187","EU188","EU189","EU190","EU191","EU192","EU226","EU228","EU229","EU230","EU231","EU236"
"ENSMUSG00000000884",2,89,35,17,22,9,11,71,4,0,9,3,10,3,37,15,38,10
"ENSMUSG00000000889",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
"ENSMUSG00000000901",119,190,67,150,331,286,79,351,166,0,386,163,201,418,647,299,81,302
"ENSMUSG00000000902",127,192,72,302,338,207,173,368,181,1,217,178,128,209,264,268,62,149
"ENSMUSG00000000903",0,0,0,1,4,0,2,0,0,0,1,0,0,0,2,0,0,0
"ENSMUSG00000000915",7,48,14,7,59,53,82,150,55,0,29,17,17,26,115,38,13,53
"ENSMUSG00000000916",17,41,19,15,34,30,22,51,24,0,29,10,27,44,70,27,13,6
"ENSMUSG00000000934",13,19,6,20,21,25,14,19,11,0,33,23,26,20,88,36,5,13
"ENSMUSG00000000938",127,177,127,94,344,237,243,122,57,7,82,191,68,87,103,61,138,76
"ENSMUSG00000000942",0,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,0
"ENSMUSG00000000948",0,2,0,89,5,53,24,11,20,0,8,0,0,0,1,2,2,7
"ENSMUSG00000000957",93,284,66,110,456,234,97,302,229,0,273,120,234,215,598,155,157,1224
"ENSMUSG00000000958",0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
"ENSMUSG00000000959",303,203,53,160,556,310,487,337,188,0,215,116,67,137,206,108,75,148
"ENSMUSG00000000976",251,437,95,699,1321,1070,307,1238,645,1,196,193,66,92,157,79,90,116
"ENSMUSG00000000982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000001014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001016",99,93,66,87,189,199,125,171,63,1,127,75,95,86,372,144,78,137
"ENSMUSG00000001017",1221,1065,508,1460,3316,3641,1444,5114,2889,11,429,1419,115,1534,439,220,335,218
"ENSMUSG00000001018",383,556,345,394,746,302,526,329,74,2,237,307,81,100,540,79,62,141
"ENSMUSG00000001020",460,971,555,503,981,562,541,538,888,3,871,673,318,374,818,418,809,532
"ENSMUSG00000001021",43,32,34,31,74,40,186,31,12,0,37,37,10,33,39,15,5,11
"ENSMUSG00000001023",0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0
"ENSMUSG00000001025",626,1172,790,864,1878,904,916,791,1258,1,1764,870,552,1155,781,972,650,1012
"ENSMUSG00000001027",0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0
"ENSMUSG00000001029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001034",17,20,11,19,43,32,30,57,31,0,37,25,23,16,117,15,5,50
"ENSMUSG00000001036",126,99,25,34,298,317,90,324,49,4,130,68,48,641,300,107,84,108
"ENSMUSG00000001039",28,42,11,29,69,20,32,132,36,1,30,43,18,33,106,35,34,31
"ENSMUSG00000001052",73,245,30,69,505,162,94,208,121,0,156,92,42,94,251,74,32,82
"ENSMUSG00000001053",1,1,0,1,1,1,0,2,3,0,5,0,1,7,14,3,0,3
"ENSMUSG00000001054",34,40,30,52,115,124,42,50,54,0,66,28,22,42,69,42,12,40
"ENSMUSG00000001056",87,61,82,97,113,94,100,106,127,1,117,60,105,120,368,170,47,41
"ENSMUSG00000001062",21,25,14,14,92,44,18,27,18,0,41,12,23,57,242,43,22,9
"ENSMUSG00000001065",10,1,2,6,31,27,91,50,8,0,9,6,1,22,44,10,3,36
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"ENSMUSG00000001082",11,16,4,14,27,29,20,17,30,0,23,25,17,16,22,12,2,30
"ENSMUSG00000001089",70,103,66,79,285,176,608,200,62,1,161,58,97,134,297,132,68,151
"ENSMUSG00000001095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001098",25,23,14,37,148,108,44,107,50,0,69,55,16,44,75,29,4,34
"ENSMUSG00000001100",80,127,70,107,321,242,285,230,197,0,205,108,67,167,479,136,56,168
"ENSMUSG00000001103",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001105",115,205,127,90,234,140,128,93,72,1,119,85,158,237,239,186,107,101
"ENSMUSG00000001119",16,225,21,32,44,22,18,25,87,0,111,40,26,26,321,70,482,1460
"ENSMUSG00000001120",19,12,7,26,25,44,18,30,13,1,28,10,20,14,80,13,7,79
"ENSMUSG00000001123",24,99,51,60,140,107,41,110,38,1,97,87,22,40,37,26,58,93
"ENSMUSG00000001127",180,262,125,155,619,533,237,472,160,4,158,190,85,88,129,71,61,168
"ENSMUSG00000001128",16,5,0,1,3,2,0,4,0,0,6,3,31,2,8,1,7,7
"ENSMUSG00000001131",158,548,231,220,560,342,182,226,548,5,658,474,149,324,2212,667,309,743
"ENSMUSG00000001134",30,23,14,24,51,48,35,43,43,3,47,24,18,19,58,41,10,19
"ENSMUSG00000001138",302,173,171,75,472,341,269,249,90,2,78,105,643,59,81,28,31,106
"ENSMUSG00000001143",135,84,30,102,258,221,127,283,68,4,86,75,99,45,91,48,36,103
"ENSMUSG00000001150",36,355,15,64,581,302,140,670,49,0,98,41,34,40,100,34,11,100
"ENSMUSG00000001151",34,285,33,177,505,276,203,404,81,2,84,56,35,45,130,40,21,21
"ENSMUSG00000001155",0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0
"ENSMUSG00000001156",16,158,15,362,615,453,13,55,74,3,28,54,30,17,62,15,120,53
"ENSMUSG00000001157",740,1136,332,696,1969,1092,505,1435,681,6,107,948,57,50,93,331,581,30
"ENSMUSG00000001158",171,298,150,213,638,443,366,478,223,0,246,227,73,313,258,205,177,182
"ENSMUSG00000001166",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",45,248,14,40,106,302,42,263,30,4,60,29,32,31,55,37,35,59
"ENSMUSG00000001175",1361,3141,1021,2432,5489,2523,2136,3280,1754,15,2112,2689,715,1937,2680,2203,1532,3449
"ENSMUSG00000001211",123,191,120,126,320,247,90,266,150,3,267,125,146,223,733,246,208,454
"ENSMUSG00000001225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000001227",4,18,2,2,26,87,8,57,63,1,14,89,230,11,21,19,13,14
"ENSMUSG00000001228",31,451,35,156,753,27,58,143,565,0,79,255,14,22,32,44,165,61
"ENSMUSG00000001229",100,125,59,452,499,244,141,266,238,1,200,104,81,159,456,178,44,200
