"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000001138",204,258,299,311,408,325,182,233,203
"ENSMUSG00000001143",333,519,400,599,498,646,351,535,294
"ENSMUSG00000001150",329,471,424,789,474,702,398,485,390
"ENSMUSG00000001151",136,210,174,238,236,295,160,189,131
"ENSMUSG00000001155",6765,7530,5540,5728,6647,6752,5716,6172,4369
"ENSMUSG00000001156",82,136,118,98,89,143,92,128,50
"ENSMUSG00000001157",185,226,213,274,227,265,181,210,131
"ENSMUSG00000001158",182,244,135,230,188,206,132,146,139
"ENSMUSG00000001166",6,6,17,4,10,16,8,5,4
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",38,51,70,76,62,81,51,37,52
"ENSMUSG00000001175",3395,3635,2685,3340,3341,4191,2761,3089,2180
"ENSMUSG00000001211",3696,4551,3231,5027,4632,5773,4010,4932,3655
"ENSMUSG00000001225",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001227",96,109,49,93,105,100,67,86,73
"ENSMUSG00000001228",9,14,7,2,15,2,4,0,0
"ENSMUSG00000001229",1064,1434,1124,1599,1339,1618,1265,1410,1140
"ENSMUSG00000001240",74,89,67,88,66,63,65,76,32
"ENSMUSG00000001247",4584,5833,3189,3348,3588,4662,2878,3434,2035
"ENSMUSG00000001248",241,272,201,204,169,205,188,129,93
"ENSMUSG00000001249",7178,8365,5594,6537,6623,7598,5465,7364,4212
"ENSMUSG00000001260",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001270",56,77,29,43,46,52,32,32,28
"ENSMUSG00000001280",468,797,859,1075,885,1150,795,914,653
"ENSMUSG00000001281",22,24,14,16,17,5,10,13,17
"ENSMUSG00000001285",138,180,85,216,160,146,156,134,114
"ENSMUSG00000001288",73,102,58,163,90,109,96,79,33
"ENSMUSG00000001289",649,766,463,635,730,669,480,677,417
"ENSMUSG00000001300",34,55,34,77,83,93,77,70,58
"ENSMUSG00000001305",111,170,123,297,158,215,147,189,79
"ENSMUSG00000001313",366,353,228,206,256,311,151,287,180
"ENSMUSG00000001323",1508,1569,1501,2561,1954,2799,1850,2269,1559
"ENSMUSG00000001333",4,1,4,2,3,0,0,3,2
"ENSMUSG00000001334",1,6,0,0,6,2,1,0,0
"ENSMUSG00000001348",2093,2078,1579,1724,1730,2007,1015,1680,910
"ENSMUSG00000001349",0,0,0,1,6,2,0,0,0
"ENSMUSG00000001366",619,970,819,827,713,949,702,1054,526
"ENSMUSG00000001376",140,188,183,173,139,240,172,189,115
"ENSMUSG00000001380",494,566,418,782,469,634,497,553,378
"ENSMUSG00000001383",512,580,337,540,504,572,331,446,321
"ENSMUSG00000001403",9,5,9,1,0,6,0,2,0
"ENSMUSG00000001415",580,708,543,998,762,1014,752,975,467
"ENSMUSG00000001416",1753,2205,1327,2626,1840,2319,1869,2025,1318
"ENSMUSG00000001418",604,732,473,648,553,647,421,567,430
"ENSMUSG00000001419",534,593,521,853,623,763,545,651,373
"ENSMUSG00000001420",80,89,62,88,72,105,53,94,58
"ENSMUSG00000001424",2034,2252,2041,2053,2076,2578,1779,1959,1544
"ENSMUSG00000001435",13571,18254,15559,13646,17588,19285,13860,18122,13006
"ENSMUSG00000001436",134,165,160,184,84,112,98,129,82
"ENSMUSG00000001440",2167,2605,1999,3789,2577,3387,2353,2766,1639
"ENSMUSG00000001441",480,620,480,740,566,774,517,661,400
"ENSMUSG00000001444",4,5,0,6,5,2,2,0,2
"ENSMUSG00000001445",675,714,481,807,613,932,562,745,510
"ENSMUSG00000001467",2950,3577,2479,2383,2303,3031,2998,3064,2532
"ENSMUSG00000001472",1969,2409,1994,2487,2108,2791,1876,2480,1599
"ENSMUSG00000001473",49,70,59,95,61,90,41,50,37
"ENSMUSG00000001482",763,837,701,1139,791,1115,591,908,612
"ENSMUSG00000001493",2,0,0,1,3,0,1,1,0
"ENSMUSG00000001494",0,0,0,0,1,0,0,0,0
"ENSMUSG00000001496",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001497",3,0,0,0,0,0,0,0,0
"ENSMUSG00000001504",0,0,0,0,2,0,0,0,0
"ENSMUSG00000001506",54,81,39,47,82,126,13,19,11
"ENSMUSG00000001507",112,160,162,159,149,171,101,149,84
"ENSMUSG00000001508",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001510",0,0,0,0,0,0,0,0,0
