"","RR9_SPL_FLT_F1","RR9_SPL_FLT_F10","RR9_SPL_FLT_F2","RR9_SPL_FLT_F3","RR9_SPL_FLT_F4","RR9_SPL_FLT_F5","RR9_SPL_FLT_F6","RR9_SPL_FLT_F7","RR9_SPL_FLT_F8","RR9_SPL_FLT_F9","RR9_SPL_GC_G1","RR9_SPL_GC_G10","RR9_SPL_GC_G2","RR9_SPL_GC_G3","RR9_SPL_GC_G4","RR9_SPL_GC_G5","RR9_SPL_GC_G6","RR9_SPL_GC_G7","RR9_SPL_GC_G8","RR9_SPL_GC_G9"
"ENSMUSG00000026563",24,177,255,72,265,149,2,69,93,25,29,56,134,371,213,142,38,97,222,132
"ENSMUSG00000026564",0,0,4,0,0,1,1,0,6,0,0,0,17,0,0,4,0,9,14,0
"ENSMUSG00000026565",133,650,633,273,763,529,85,170,627,176,77,121,208,876,631,420,107,222,673,542
"ENSMUSG00000026566",39,183,320,93,174,164,21,62,237,48,11,56,79,236,163,132,19,64,168,108
"ENSMUSG00000026567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
"ENSMUSG00000026568",295,1131,1534,365,2366,1041,204,511,1337,583,251,256,811,2712,1989,1137,210,806,1695,1157
"ENSMUSG00000026571",53,191,226,59,249,134,47,64,180,78,24,61,97,221,365,137,37,75,239,223
"ENSMUSG00000026572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026573",10,92,115,23,147,73,2,18,85,8,11,7,31,128,128,47,23,8,96,56
"ENSMUSG00000026574",119,476,551,110,432,293,82,151,371,93,56,111,191,593,607,227,34,284,446,281
"ENSMUSG00000026575",31,53,127,35,187,74,16,10,48,26,7,16,52,132,105,51,3,18,79,79
"ENSMUSG00000026576",121,419,613,106,513,330,49,128,476,96,72,71,274,623,544,506,50,204,444,361
"ENSMUSG00000026577",25,131,288,51,221,118,14,35,141,28,30,32,58,343,149,139,26,126,210,155
"ENSMUSG00000026578",5,92,145,17,158,71,4,28,143,31,19,18,43,261,101,59,5,49,160,119
"ENSMUSG00000026579",0,157,173,8,87,64,7,20,62,24,8,16,34,103,82,51,3,43,63,39
"ENSMUSG00000026580",5,45,10,0,24,33,0,0,34,12,1,8,10,43,58,3,2,40,46,8
"ENSMUSG00000026581",456,2744,3755,1073,3948,2320,369,675,2766,750,380,824,1422,4769,3336,2265,374,1446,3438,2654
"ENSMUSG00000026582",0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
"ENSMUSG00000026584",67,245,397,91,416,187,37,59,249,121,57,94,112,476,293,206,47,128,233,226
"ENSMUSG00000026585",19,211,531,88,375,161,33,61,299,62,48,39,91,330,319,140,29,113,256,160
"ENSMUSG00000026586",50,312,254,133,580,306,30,85,338,140,32,50,102,310,281,207,49,111,297,184
"ENSMUSG00000026587",0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"ENSMUSG00000026589",0,16,31,11,33,12,0,4,22,0,6,0,0,2,23,2,4,0,13,12
"ENSMUSG00000026592",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026594",720,6060,7017,1898,9302,5457,976,1447,5854,1477,540,1337,2887,9744,8157,4736,788,2653,7075,5854
"ENSMUSG00000026596",97,409,578,150,727,445,74,115,482,129,36,120,138,607,546,272,82,199,450,365
"ENSMUSG00000026600",247,1388,2116,406,1999,1118,231,387,1446,351,143,265,557,1898,1740,1070,166,668,1574,990
