"","SRR11148753","SRR11148754","SRR11148755","SRR11148756","SRR11148757","SRR11148758","SRR11148759","SRR11148760"
"ENSMUSG00000001999",170,296,1774,262,355,228,142,1227
"ENSMUSG00000002006",32,26,319,19,52,12,0,258
"ENSMUSG00000002007",934,1185,11808,1435,2827,2985,1381,9689
"ENSMUSG00000002010",2888,6493,50705,6148,11525,6633,4271,26626
"ENSMUSG00000002012",202,374,2609,263,637,426,216,1634
"ENSMUSG00000002014",591,1097,8883,1399,2729,1545,1009,5841
"ENSMUSG00000002015",355,803,7394,824,1791,869,622,4867
"ENSMUSG00000002017",293,662,5652,565,1113,611,495,2978
"ENSMUSG00000002020",7,30,159,6,2,28,9,141
"ENSMUSG00000002028",393,1000,8839,912,1485,1082,780,5573
"ENSMUSG00000002031",323,509,3553,377,821,588,464,2898
"ENSMUSG00000002032",211,300,2718,275,436,283,54,1558
"ENSMUSG00000002033",0,0,8,0,0,0,0,0
"ENSMUSG00000002043",26,59,430,44,121,97,56,353
"ENSMUSG00000002052",442,1019,7412,898,1837,1226,847,5331
"ENSMUSG00000002055",71,159,1321,69,349,213,198,1109
"ENSMUSG00000002057",0,0,0,0,0,0,0,0
"ENSMUSG00000002058",60,217,1138,162,204,104,98,651
"ENSMUSG00000002059",111,120,1119,107,187,65,57,594
"ENSMUSG00000002064",373,1164,8278,1005,2127,1226,505,4233
"ENSMUSG00000002068",4,13,27,1,24,7,0,29
"ENSMUSG00000002076",0,17,0,0,27,21,0,21
"ENSMUSG00000002083",4,25,133,11,20,36,10,233
"ENSMUSG00000002100",0,0,5,0,0,0,0,1
"ENSMUSG00000002102",2316,4824,32043,4451,10986,5972,3181,21058
"ENSMUSG00000002103",209,303,3016,317,768,431,149,2053
"ENSMUSG00000002104",179,519,4113,619,1594,688,612,2249
"ENSMUSG00000002105",216,609,5312,697,916,703,436,3302
"ENSMUSG00000002107",451,543,5463,522,1950,762,533,4707
"ENSMUSG00000002108",287,408,3625,486,1308,607,238,2846
"ENSMUSG00000002109",375,335,2722,286,654,441,219,2692
"ENSMUSG00000002111",9,15,252,36,28,0,0,143
"ENSMUSG00000002129",182,363,2313,324,767,392,276,1701
"ENSMUSG00000002147",316,640,5185,541,1144,696,329,3433
"ENSMUSG00000002190",0,0,0,0,0,0,0,6
"ENSMUSG00000002204",0,17,55,21,4,0,0,23
"ENSMUSG00000002205",133,372,2809,387,1201,373,195,1925
"ENSMUSG00000002210",255,455,3582,609,1220,713,399,2673
"ENSMUSG00000002221",118,188,1679,259,307,186,129,1057
"ENSMUSG00000002222",470,1560,11268,1102,2483,975,570,5989
"ENSMUSG00000002227",62,79,809,85,160,61,8,579
"ENSMUSG00000002228",1337,2763,17758,2547,5032,2739,1954,12246
"ENSMUSG00000002233",228,620,4634,615,1138,1108,377,3042
"ENSMUSG00000002240",0,0,0,0,0,0,0,0
"ENSMUSG00000002249",461,575,5128,544,1080,643,154,3627
"ENSMUSG00000002250",201,408,2660,375,1352,531,340,2115
"ENSMUSG00000002257",42,28,394,50,179,135,66,342
"ENSMUSG00000002265",1296,1867,23333,1552,7067,4830,2372,23838
"ENSMUSG00000002266",64,100,1564,111,183,154,96,1057
"ENSMUSG00000002274",197,657,3178,664,1364,458,305,2025
"ENSMUSG00000002279",74,164,1777,197,530,367,96,1491
"ENSMUSG00000002280",423,805,6293,858,1227,848,663,3193
"ENSMUSG00000002289",189,140,4036,8,202,576,96,677
"ENSMUSG00000002297",11,34,102,11,52,18,15,51
"ENSMUSG00000002307",125,245,1984,258,386,264,182,1302
"ENSMUSG00000002308",82,184,2031,194,602,283,200,1242
"ENSMUSG00000002319",339,722,5733,906,1844,977,877,4015
"ENSMUSG00000002320",34,129,1009,97,279,118,80,775
"ENSMUSG00000002324",0,6,29,7,13,9,11,48
"ENSMUSG00000002325",169,290,2392,292,465,355,167,2001
"ENSMUSG00000002326",156,108,1336,261,229,203,171,1327
"ENSMUSG00000002329",196,443,3379,318,1124,438,413,2371
"ENSMUSG00000002332",175,569,2873,421,734,413,158,1445
"ENSMUSG00000002341",6,0,15,5,0,0,0,8
"ENSMUSG00000002342",395,1185,8378,1175,2421,1416,626,5142
"ENSMUSG00000002343",40,173,1018,170,416,252,61,783
"ENSMUSG00000002345",55,114,1116,134,354,301,67,794
"ENSMUSG00000002346",324,966,7600,964,1589,986,337,3306
"ENSMUSG00000002365",198,451,3755,400,716,431,222,2237
"ENSMUSG00000002372",760,1171,10347,1322,3336,1572,565,6992
"ENSMUSG00000002379",2306,4878,35926,5330,10681,6402,4032,21653
"ENSMUSG00000002384",0,0,0,0,0,0,0,0
"ENSMUSG00000002393",194,413,2795,535,972,595,342,1896
"ENSMUSG00000002395",927,1921,13451,1897,4057,2323,1292,8964
"ENSMUSG00000002396",76,67,930,124,173,131,68,835
"ENSMUSG00000002409",242,861,4558,799,1544,1012,245,2589
"ENSMUSG00000002413",99,137,1618,77,120,180,45,1039
"ENSMUSG00000002416",757,1461,6265,1730,4277,2239,2250,8732
"ENSMUSG00000002428",86,147,1089,111,90,84,42,756
"ENSMUSG00000002455",391,524,5301,706,1300,674,603,3557
"ENSMUSG00000002458",26,59,439,64,119,103,25,360
"ENSMUSG00000002459",0,0,1,0,0,0,19,0
"ENSMUSG00000002475",0,7,91,10,0,4,0,48
"ENSMUSG00000002477",79,204,1822,178,644,307,129,1636
"ENSMUSG00000002486",129,160,1320,197,304,259,57,1255
"ENSMUSG00000002489",44,257,1278,128,325,122,105,527
"ENSMUSG00000002496",796,1717,11955,1665,4345,1957,850,8118
"ENSMUSG00000002500",6873,14462,91677,13110,35837,16993,13018,66448
