"","Mmus_C57-6T_LVR_FLT_Rep1_F1","Mmus_C57-6T_LVR_FLT_Rep2_F2","Mmus_C57-6T_LVR_FLT_Rep3_F3","Mmus_C57-6T_LVR_GC_Rep1_G1","Mmus_C57-6T_LVR_GC_Rep2_G2","Mmus_C57-6T_LVR_GC_Rep3_G3","Mmus_C57-6T_SPL_FLT_Rep1_F1","Mmus_C57-6T_SPL_FLT_Rep2_F2","Mmus_C57-6T_SPL_FLT_Rep3_F3","Mmus_C57-6T_SPL_GC_Rep1_G1","Mmus_C57-6T_SPL_GC_Rep2_G2","Mmus_C57-6T_SPL_GC_Rep3_G3"
"ENSMUSG00000001131",3,0,8,3,4,7,65,86,77,132,62,78
"ENSMUSG00000001134",71,74,184,89,63,50,64,74,89,139,62,70
"ENSMUSG00000001138",254,246,85,269,214,200,377,519,686,378,500,484
"ENSMUSG00000001143",425,233,191,242,269,257,372,743,773,346,783,575
"ENSMUSG00000001150",520,467,330,420,453,451,1196,1643,2025,1120,1382,1482
"ENSMUSG00000001151",374,245,67,338,226,223,1528,1899,2190,853,1409,1571
"ENSMUSG00000001155",9815,10515,6026,9345,8511,7590,0,2,2,0,2,0
"ENSMUSG00000001156",219,163,78,195,126,160,2544,1786,1182,1144,1150,1557
"ENSMUSG00000001157",259,213,82,219,159,165,496,575,692,587,645,565
"ENSMUSG00000001158",334,295,382,400,255,308,570,517,601,1030,534,493
"ENSMUSG00000001166",50,24,22,29,22,14,158,218,211,275,183,137
"ENSMUSG00000001168",4,0,3,0,1,2,7,3,11,6,6,4
"ENSMUSG00000001173",162,153,37,174,119,115,370,388,441,264,325,343
"ENSMUSG00000001175",4287,3822,3719,2965,3394,3072,10446,10328,12939,15724,11265,10428
"ENSMUSG00000001211",3886,3957,2873,2851,2964,3382,1711,2379,2732,2350,2040,1882
"ENSMUSG00000001225",1,0,0,0,1,1,2,8,0,0,3,2
"ENSMUSG00000001227",113,149,138,82,77,102,177,307,386,366,210,226
"ENSMUSG00000001228",109,28,17,46,42,37,2944,2173,2151,822,1015,1477
"ENSMUSG00000001229",1149,862,482,542,643,671,1119,1284,1642,910,1062,1112
"ENSMUSG00000001240",95,112,216,69,94,121,197,305,383,582,207,330
"ENSMUSG00000001247",1091,759,224,911,1014,628,20,44,55,42,39,36
"ENSMUSG00000001248",411,368,325,327,273,304,2344,3952,4823,3755,3597,3460
"ENSMUSG00000001249",9154,9839,8470,8738,8508,7078,368,194,201,156,67,144
"ENSMUSG00000001260",1,1,0,2,0,1,1,2,1,4,0,1
"ENSMUSG00000001270",141,64,130,72,67,89,775,679,821,1412,570,669
"ENSMUSG00000001280",993,728,130,940,620,583,2869,3658,4089,1805,3633,3349
"ENSMUSG00000001281",68,43,81,58,69,72,2054,2614,3359,3783,2993,2993
"ENSMUSG00000001285",203,208,414,221,161,175,309,403,510,664,371,359
"ENSMUSG00000001288",110,123,75,96,106,97,458,522,557,665,502,539
"ENSMUSG00000001289",1211,1029,2964,1204,986,1065,1919,2458,3029,6409,2753,2368
"ENSMUSG00000001300",121,137,26,53,59,75,330,417,368,292,306,334
"ENSMUSG00000001305",169,159,220,200,190,153,345,390,579,660,431,395
"ENSMUSG00000001313",463,690,398,330,438,210,43,51,48,67,33,41
"ENSMUSG00000001323",929,898,288,695,786,567,162,210,240,120,184,160
"ENSMUSG00000001333",0,0,0,1,2,0,51,51,53,24,43,31
"ENSMUSG00000001334",3,2,8,6,12,6,34,29,45,86,19,36
"ENSMUSG00000001348",1376,1256,1677,1177,997,1072,2702,3458,4182,4020,2971,2961
"ENSMUSG00000001349",2,1,4,4,1,1,77,98,129,170,96,64
"ENSMUSG00000001366",1145,1007,693,948,931,791,1282,1089,855,820,764,773
"ENSMUSG00000001376",261,226,79,225,186,158,478,510,637,550,547,524
"ENSMUSG00000001380",515,583,437,541,431,386,1732,1495,1380,1384,1004,1080
"ENSMUSG00000001383",839,806,549,962,790,796,1750,1710,2005,2394,1736,1712
"ENSMUSG00000001403",75,23,60,23,19,34,2123,1237,869,650,462,865
"ENSMUSG00000001415",734,689,519,525,528,547,2240,2605,3147,2139,2091,2152
"ENSMUSG00000001416",1474,1315,1596,1167,1209,1248,2709,3376,4033,4033,3372,2807
"ENSMUSG00000001418",1152,957,1536,887,912,926,1008,1276,1679,2096,1210,1179
"ENSMUSG00000001419",914,639,100,642,509,492,2859,3588,4618,1654,3276,3155
"ENSMUSG00000001420",53,38,14,26,54,33,46,53,64,28,32,37
"ENSMUSG00000001424",2700,2236,998,2063,2243,1646,2265,2242,3097,2728,2343,2287
"ENSMUSG00000001435",21586,18664,11284,16331,16456,15408,555,657,839,534,515,432
"ENSMUSG00000001436",200,266,120,190,177,198,290,283,420,282,261,286
"ENSMUSG00000001440",2047,1789,576,1710,1524,1275,5682,5842,6983,4318,5308,5122
"ENSMUSG00000001441",584,591,165,480,441,402,1056,1350,1592,1033,1224,1115
"ENSMUSG00000001444",12,7,3,9,9,14,322,285,454,577,344,428
"ENSMUSG00000001445",549,495,402,442,459,431,495,611,724,700,618,569
"ENSMUSG00000001467",4148,1731,528,2152,2181,1428,499,452,581,537,513,452
"ENSMUSG00000001472",3752,3673,2566,3348,2980,2848,4538,6276,7980,5538,5475,5287
"ENSMUSG00000001473",305,217,294,159,186,197,339,277,435,483,323,288
"ENSMUSG00000001482",885,778,319,645,693,639,619,445,542,410,401,448
"ENSMUSG00000001493",0,4,0,5,0,1,44,49,59,73,55,69
"ENSMUSG00000001494",0,0,0,1,0,0,0,1,1,1,0,4
"ENSMUSG00000001496",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001497",9,6,6,9,9,4,8,12,4,2,2,7
"ENSMUSG00000001504",2,0,1,2,1,0,0,0,1,2,1,2
"ENSMUSG00000001506",107,59,91,77,98,82,1002,705,969,675,593,646
"ENSMUSG00000001507",181,141,76,166,127,118,277,277,333,322,217,193
"ENSMUSG00000001508",1,0,0,0,1,0,6,3,6,5,2,1
"ENSMUSG00000001510",0,0,0,0,0,1,1,0,0,1,0,0
"ENSMUSG00000001517",82,23,15,31,40,27,1023,877,949,292,520,684
"ENSMUSG00000001518",157,142,99,120,148,119,257,274,365,345,290,253
"ENSMUSG00000001520",9,6,1,7,3,2,18,35,44,23,38,23
"ENSMUSG00000001521",31,24,22,37,47,46,240,330,346,292,286,265
"ENSMUSG00000001524",233,235,205,206,218,158,200,301,321,379,266,262
"ENSMUSG00000001525",1511,1027,1258,1045,945,947,11003,10220,11945,11039,8090,8734
"ENSMUSG00000001542",1402,1962,548,1378,1736,1591,1762,1638,1825,1284,1566,1459
"ENSMUSG00000001552",728,618,553,589,583,533,584,635,831,948,542,632
"ENSMUSG00000001555",26,18,39,17,38,19,124,165,167,231,123,104
"ENSMUSG00000001558",2,1,2,0,1,0,4,7,10,17,8,5
"ENSMUSG00000001566",0,0,0,0,0,0,0,0,0,0,0,0
