"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000000876",401,645,680,1054,982,1014,931,595,1139
"ENSMUSG00000000881",2000,2497,2496,5491,4744,3695,4044,2208,4955
"ENSMUSG00000000884",82,65,70,135,215,171,170,89,185
"ENSMUSG00000000889",5,4,17,44,3,1,6,13,7
"ENSMUSG00000000901",18,25,36,95,109,86,66,36,71
"ENSMUSG00000000902",618,937,922,1881,2995,2583,2513,1032,2269
"ENSMUSG00000000903",2,0,1,3,3,3,1,0,0
"ENSMUSG00000000915",1415,1906,2107,3646,3220,3204,3364,1739,3831
"ENSMUSG00000000916",130,174,199,359,616,622,563,160,399
"ENSMUSG00000000934",239,295,391,698,418,448,453,322,612
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942",0,0,1,3,1,5,4,0,0
"ENSMUSG00000000948",1445,2032,3307,5209,4480,4221,3300,2172,5944
"ENSMUSG00000000957",246,377,585,636,1059,968,874,261,730
"ENSMUSG00000000958",30,52,51,114,66,85,88,86,100
"ENSMUSG00000000959",741,915,1151,1895,2590,2357,2119,1014,2109
"ENSMUSG00000000976",266,384,448,943,1534,1248,1027,464,830
"ENSMUSG00000000982",3,7,4,11,4,2,6,11,10
"ENSMUSG00000000983",50,9,45,48,20,91,77,76,80
"ENSMUSG00000001014",13,18,21,23,12,4,24,17,50
"ENSMUSG00000001016",1717,2293,2368,3763,8622,7922,6224,2635,6383
"ENSMUSG00000001017",3329,4203,4341,7409,11377,11070,9520,5007,9808
"ENSMUSG00000001018",1384,1875,1870,2834,3306,3542,3333,1905,3288
"ENSMUSG00000001020",6,11,6,6,3,0,8,8,10
"ENSMUSG00000001021",8,11,10,17,10,6,4,21,15
