"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000001134",89,72,116,104,74
"ENSMUSG00000001138",181,185,294,251,192
"ENSMUSG00000001143",301,300,438,398,311
"ENSMUSG00000001150",774.82,690.82,924.91,861.64,698.89
"ENSMUSG00000001151",934,684,892,967,697
"ENSMUSG00000001155",0,0,0,0,0
"ENSMUSG00000001156",406,468,594,538,475
"ENSMUSG00000001157",270,224,294,318,214
"ENSMUSG00000001158",206,177,334,278,191
"ENSMUSG00000001166",97,71,120.99,107,82
"ENSMUSG00000001168",0,0,1,0,1
"ENSMUSG00000001173",99,140,167,189,146
"ENSMUSG00000001175",4341,5739,7743,8308,5101
"ENSMUSG00000001211",974,941,1548,1375,924
"ENSMUSG00000001225",0,0,1,2,0
"ENSMUSG00000001227",23,80,145,100,88
"ENSMUSG00000001228",206,501.99,394.95,513,506.99
"ENSMUSG00000001229",473,406,734,592,406
"ENSMUSG00000001240",14,121,176,187.5,117
"ENSMUSG00000001247",22.67,27.07,36.9,39.96,35.7
"ENSMUSG00000001248",3449.88,2339.53,3856.99,3460,2350.86
"ENSMUSG00000001249",15,49,52,54,48
"ENSMUSG00000001260",0,0,0,0,0
"ENSMUSG00000001270",108,392.99,517,448,308
"ENSMUSG00000001280",1937,1566,1827,1881,1594
"ENSMUSG00000001281",2251,1362,2253,1784,1206
"ENSMUSG00000001285",226.82,234,420.17,340.27,211.11
"ENSMUSG00000001288",149,175,288,250,176
"ENSMUSG00000001289",1382.18,1145,2263.83,2020.73,1136.89
"ENSMUSG00000001300",14,126,172,134,150
"ENSMUSG00000001305",158,182,256,262,184
"ENSMUSG00000001313",6,16.01,29,30.01,16
"ENSMUSG00000001323",81.08,117.31,153.5,203.15,133.99
"ENSMUSG00000001333",2.02,22.21,29.05,30.16,37.03
"ENSMUSG00000001334",3,19,27,16,16
"ENSMUSG00000001348",1284.99,1496,2591,2244,1439
"ENSMUSG00000001349",0,45,23,27,33
"ENSMUSG00000001366",304,424,422,489,460
"ENSMUSG00000001376",219,200,228,306,287
"ENSMUSG00000001380",464.37,611.86,782.02,802.21,658.32
"ENSMUSG00000001383",700,729,1044,984,797
"ENSMUSG00000001403",63,301,144,351,226
"ENSMUSG00000001415",1108,1024,1562,1352,1011
"ENSMUSG00000001416",1321,1309,2139,1998,1429
"ENSMUSG00000001418",518.91,585.96,983.77,826.93,530.93
"ENSMUSG00000001419",1876.11,1370.84,2755.98,2361.75,1384.81
"ENSMUSG00000001420",5.09,3.04,8.23,3.07,4.07
"ENSMUSG00000001424",761,953,1206,961,862
"ENSMUSG00000001435",7,154,161,130,141
"ENSMUSG00000001436",95,118,156,149,114
"ENSMUSG00000001440",2417,2279,2727,2620,2343
"ENSMUSG00000001441",546,378,592,533,409
"ENSMUSG00000001444",117,71,167,142,84
"ENSMUSG00000001445",232.94,251,427.97,335.97,230.86
"ENSMUSG00000001467",273,300,424,355,263
"ENSMUSG00000001472",3343,3061,4305,4252,3185
"ENSMUSG00000001473",43,169,249,198,129
"ENSMUSG00000001482",150,200,284,202,194
"ENSMUSG00000001493",1,23,22,23,12
"ENSMUSG00000001494",0,2,5,2,0
"ENSMUSG00000001496",0,0,0,0,0
"ENSMUSG00000001497",0,2,0,4,1
"ENSMUSG00000001504",0,0,0,0,0
"ENSMUSG00000001506",5,317,639,377,273
"ENSMUSG00000001507",30,103,164,114,90
"ENSMUSG00000001508",0,2,1,2,0
"ENSMUSG00000001510",0,0,0,0,0
"ENSMUSG00000001517",98,162,184,237,158
"ENSMUSG00000001518",194,164,292,230,167
"ENSMUSG00000001520",36,30,32,37,24
"ENSMUSG00000001521",56,103,142,129,72
"ENSMUSG00000001524",94,82,130,138,101
"ENSMUSG00000001525",2784,3926,5521,4764,3840
"ENSMUSG00000001542",230,408,306,407,433
"ENSMUSG00000001552",54,359,556,459,378
"ENSMUSG00000001555",5,84,101.41,95.61,84.71
"ENSMUSG00000001558",5,0,2,3,4
"ENSMUSG00000001566",0,0,0,0,0
"ENSMUSG00000001569",444,396,497,546,427
"ENSMUSG00000001576",197,309,614,487,364
"ENSMUSG00000001583",0,1.06,1,4,8.2
"ENSMUSG00000001588",3723,2044,3390,3306,2159
"ENSMUSG00000001604",3,14,20,17,10
"ENSMUSG00000001622",0,0,0,0,0
"ENSMUSG00000001627",170,236,310.72,307.64,258.38
"ENSMUSG00000001630",154,124.91,172,171,151.97
"ENSMUSG00000001632",846,775.97,1103,913,743.94
"ENSMUSG00000001642",896.32,908.7,1712.3,1264.22,890.77
"ENSMUSG00000001655",0,0,0,0,0
"ENSMUSG00000001656",0,0,0,0,0
"ENSMUSG00000001657",0,0,0,0,0
"ENSMUSG00000001661",0,0,0,0,2
"ENSMUSG00000001663",1,103,140,128,104
"ENSMUSG00000001665",9,34,42,61,40
"ENSMUSG00000001666",93,105,193,171,95
"ENSMUSG00000001670",0,0,1,1,0
"ENSMUSG00000001672",0,3,0,0,2
"ENSMUSG00000001674",559.73,539.65,773.74,775.79,557.94
"ENSMUSG00000001687",873,734,1127,1129,712
"ENSMUSG00000001700",1013,793,1191,1179,770
"ENSMUSG00000001707",188,188,278,259,225
"ENSMUSG00000001729",869,1127,1943,1617,1161
"ENSMUSG00000001739",1,8,36,31,10
"ENSMUSG00000001741",3065.8,2541.23,4269.02,3785.57,2761.44
"ENSMUSG00000001750",1022,1313,1668,1738,1203
"ENSMUSG00000001751",128,201,334,281,207
"ENSMUSG00000001755",159,201,264,247,180
"ENSMUSG00000001761",6,134,173,128,97
