"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000002227",290,311,431,223,130
"ENSMUSG00000002228",938,745,1362,622,433
"ENSMUSG00000002233",2306,2143,2858,1587,775
"ENSMUSG00000002240",0,0,0,0,0
"ENSMUSG00000002249",388,373,438,228,128
"ENSMUSG00000002250",901,849,889,621,262
"ENSMUSG00000002257",173,132,136,120,37
"ENSMUSG00000002265",1086,1262,1149,1062,453
"ENSMUSG00000002266",287,232,382,377,143
"ENSMUSG00000002274",597,332,708,368,297
"ENSMUSG00000002279",1266,1284,1896,1003,579
"ENSMUSG00000002280",2131,1737,3382,1764,999
"ENSMUSG00000002289",3469,976,858,772,260
"ENSMUSG00000002297",91,70,105,60,63
"ENSMUSG00000002307",683,709,1055,653,354
"ENSMUSG00000002308",910,675,1158,769,416
"ENSMUSG00000002319",647,693,954,553,367
"ENSMUSG00000002320",1469,1306,2033,1163,681
"ENSMUSG00000002324",0,0,0,0,0
"ENSMUSG00000002325",863,666,900,686,713
"ENSMUSG00000002326",572,477,827,405,203
"ENSMUSG00000002329",2325,1752,4111,2186,1237
"ENSMUSG00000002332",1823,1589,2864,1448,949
"ENSMUSG00000002341",1,11,9,0,2
"ENSMUSG00000002342",2854,2742,3991,2327,1078
"ENSMUSG00000002343",614,463,714,414,251
"ENSMUSG00000002345",410,412,604,303,145
"ENSMUSG00000002346",3706,4697,3766,2658,1347
"ENSMUSG00000002365",2181,1761,3058,1693,1084
"ENSMUSG00000002372",2176,1511,3132,1582,906
"ENSMUSG00000002379",18379,13510,26973,14063,6228
"ENSMUSG00000002384",0,0,1,0,0
"ENSMUSG00000002393",860,628,1173,735,480
"ENSMUSG00000002395",3580,2922,5513,2846,1587
"ENSMUSG00000002396",831,599,1116,657,506
"ENSMUSG00000002409",747,758,911,543,310
"ENSMUSG00000002413",1778,1740,2461,1172,748
"ENSMUSG00000002416",1284,699,1629,926,639
"ENSMUSG00000002428",1277,1379,1924,1075,758
"ENSMUSG00000002455",2525,2389,4164,2152,1245
"ENSMUSG00000002458",327,261,309,219,101
"ENSMUSG00000002459",0,2,7,0,8
"ENSMUSG00000002475",276,205,371,208,182
"ENSMUSG00000002477",844,650,1571,845,455
"ENSMUSG00000002486",273,277,491,232,120
"ENSMUSG00000002489",552,518,756,443,221
"ENSMUSG00000002496",7245,7381,10667,5890,3552
"ENSMUSG00000002500",9166,7754,12999,7916,3618
"ENSMUSG00000002504",3153,3155,4602,2112,1302
"ENSMUSG00000002524",4101,3039,5612,2866,1629
"ENSMUSG00000002546",5967,4973,8297,4364,2686
"ENSMUSG00000002550",711,578,1192,593,341
"ENSMUSG00000002565",278,229,503,248,194
"ENSMUSG00000002578",50,50,45,19,23
"ENSMUSG00000002580",1730,1397,2701,1394,634
"ENSMUSG00000002588",1,12,40,2,0
"ENSMUSG00000002602",6499,6486,7982,4253,2091
"ENSMUSG00000002603",730,707,835,563,280
"ENSMUSG00000002608",1864,1988,2298,1391,911
"ENSMUSG00000002617",299,215,494,199,121
"ENSMUSG00000002625",2067,1159,2712,1292,788
"ENSMUSG00000002633",1,0,0,0,0
"ENSMUSG00000002635",664,514,966,454,305
"ENSMUSG00000002658",1341,936,1952,1135,569
"ENSMUSG00000002660",2707,2314,3773,2063,1045
"ENSMUSG00000002661",2179,1391,2908,1718,969
"ENSMUSG00000002664",0,0,0,1,0
"ENSMUSG00000002668",71,33,60,68,9
"ENSMUSG00000002679",664,552,949,531,336
"ENSMUSG00000002688",460,367,673,319,199
"ENSMUSG00000002699",196,105,182,142,78
