"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000002204",11,10,25,26,11,6
"ENSMUSG00000002205",406,421,432,541,474,462
"ENSMUSG00000002210",66,71,103,145,145,144
"ENSMUSG00000002221",441,471,363,513,467,540
"ENSMUSG00000002222",4033,4511,4788,5310,4946,4691
"ENSMUSG00000002227",84,74,185,196,274,199
"ENSMUSG00000002228",3,2,8,7,6,5
"ENSMUSG00000002233",196,162,217,234,194,185
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",49,90,97,98,98,86
"ENSMUSG00000002250",59,121,131,178,84,83
"ENSMUSG00000002257",4,9,9,16,11,5
"ENSMUSG00000002265",123,274,191,312,185,205
"ENSMUSG00000002266",2,3,1,7,2,4
"ENSMUSG00000002274",119,83,123,183,168,165
"ENSMUSG00000002279",507,560,554,713,695,678
"ENSMUSG00000002280",688,557,632,689,556,571
"ENSMUSG00000002289",8482,7000,4902,8587,6594,5736
"ENSMUSG00000002297",44,39,68,56,67,74
"ENSMUSG00000002307",202,280,300,367,343,271
"ENSMUSG00000002308",204,145,184,132,124,156
"ENSMUSG00000002319",309,378.96,439.32,456.63,495.74,475
"ENSMUSG00000002320",1048,1090.26,896.11,1322.37,1411.52,1395
"ENSMUSG00000002324",1,10,16,9,12,19
"ENSMUSG00000002325",590.35,500.42,1021,1093.92,944.69,662
"ENSMUSG00000002326",202,194,331,297,320,305
"ENSMUSG00000002329",481,402,695,580,558,573
"ENSMUSG00000002332",1517,1809,2617,3078,3542,3409
"ENSMUSG00000002341",0,0,0,0,0,0
"ENSMUSG00000002342",194,203,318,283,310,300
"ENSMUSG00000002343",64,88,131,119,171,115
"ENSMUSG00000002345",186,198,305,282,303,355
"ENSMUSG00000002346",889,1475,681,772,619,432
"ENSMUSG00000002365",1053,966,986,1214,1339,1246
"ENSMUSG00000002372",475,520,676,786,784,700
"ENSMUSG00000002379",1876,1315,1773,1358,1452,1569
"ENSMUSG00000002384",2,1,3,0,1,3
"ENSMUSG00000002393",1073,1418,1883,2034,2238,2213
"ENSMUSG00000002395",2046,1309,1875,1221,1363,1474
"ENSMUSG00000002396",139,145,196,165,188,166
"ENSMUSG00000002409",60,103,122,126,124,125
"ENSMUSG00000002413",673,958,663,843,888,934
"ENSMUSG00000002416",4009.3,2784.72,3974.26,2535,2682,3367.92
"ENSMUSG00000002428",282,227,434,374,451,416
"ENSMUSG00000002455",985,1091,902,1066,1329,1048
"ENSMUSG00000002458",39,41,39,54,55,40
"ENSMUSG00000002459",0,0,2,0,0,0
"ENSMUSG00000002475",1883,1696,1705,2225,1689,1853
"ENSMUSG00000002477",486.97,308,489.99,453.99,446,441
"ENSMUSG00000002486",27,42,33,29,37,40
"ENSMUSG00000002489",20,9,34,28,58,70
"ENSMUSG00000002496",749,991,1212,1387,1156,1326
"ENSMUSG00000002500",0,0,1,0,0,1
"ENSMUSG00000002504",302,326,462,657,598,665
"ENSMUSG00000002524",1256,1236,1419,1481,1500,1526
"ENSMUSG00000002546",645,766,1044,942,912,938
"ENSMUSG00000002550",2698.98,2142.83,2000.9,2097.82,1547.77,1792.97
"ENSMUSG00000002565",1,0,0,1,4,3
"ENSMUSG00000002578",10,11,3,8,9,8
"ENSMUSG00000002580",1430,966,2411,1482,1430,1556
"ENSMUSG00000002588",47302,37208,45085,39776,36851,38233
"ENSMUSG00000002602",537,471,623,770,1051,922
"ENSMUSG00000002603",85,62,79,94,93,90
"ENSMUSG00000002608",128,177,163,215,235,225
"ENSMUSG00000002617",49,58,63,59,51,57
"ENSMUSG00000002625",353,383,407,437,374,437
"ENSMUSG00000002633",2,0,0,2,9,5
"ENSMUSG00000002635",302,236,338,214,312,236
"ENSMUSG00000002658",274,286,229,449,462,404
"ENSMUSG00000002660",1250,939,1090,1039,1022,1122
"ENSMUSG00000002661",358,277,579,386,315,307
"ENSMUSG00000002664",0,0,0,0,0,0
"ENSMUSG00000002668",12,10,14,26,21,15
"ENSMUSG00000002679",372,275,352,268,250,238
"ENSMUSG00000002688",34,30,6,13,15,13
"ENSMUSG00000002699",103,88,169,153,116,104
"ENSMUSG00000002718",804,698,782,795,912,959
"ENSMUSG00000002728",1048.95,795.76,811.92,577.55,610.59,654.72
