"","RR9_TMS_FLT_F1","RR9_TMS_FLT_F10","RR9_TMS_FLT_F2","RR9_TMS_FLT_F3","RR9_TMS_FLT_F4","RR9_TMS_FLT_F5","RR9_TMS_FLT_F6","RR9_TMS_FLT_F7","RR9_TMS_FLT_F8","RR9_TMS_FLT_F9","RR9_TMS_GC_G1","RR9_TMS_GC_G10","RR9_TMS_GC_G2","RR9_TMS_GC_G3","RR9_TMS_GC_G4","RR9_TMS_GC_G5","RR9_TMS_GC_G6","RR9_TMS_GC_G7","RR9_TMS_GC_G8","RR9_TMS_GC_G9"
"ENSMUSG00000000730",11,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000731",1,7,10,17,4,18,9,32,12,12,8,6,25,35,1,131,1,38,46,7
"ENSMUSG00000000732",16,10,0,6,6,12,5,30,5,24,10,3,80,78,0,118,14,25,10,8
"ENSMUSG00000000738",126,176,90,183,41,54,57,296,103,250,293,138,1483,500,91,1061,150,239,469,147
"ENSMUSG00000000739",3,17,0,2,14,0,23,55,6,34,29,0,66,38,10,62,2,14,26,27
"ENSMUSG00000000740",194,350,163,444,260,147,276,786,321,1030,1482,763,9363,2712,565,8136,460,909,1783,341
"ENSMUSG00000000743",40,81,84,143,56,38,84,166,87,246,222,147,1116,341,82,1212,129,153,410,49
"ENSMUSG00000000751",52,73,36,119,60,34,103,120,26,312,574,192,2243,603,167,1921,225,372,936,24
"ENSMUSG00000000753",30,7,19,27,1,55,0,48,18,41,11,22,510,58,36,220,67,14,58,52
"ENSMUSG00000000759",188,148,208,160,209,116,186,408,139,357,445,401,1469,588,256,1261,324,237,597,200
"ENSMUSG00000000766",0,0,0,0,0,0,13,1,0,1,0,1,3,7,0,14,0,1,11,0
"ENSMUSG00000000776",23,17,33,58,32,42,17,130,34,50,80,47,787,261,46,609,56,19,230,34
"ENSMUSG00000000782",2195,2059,1760,3937,1520,1621,2797,4490,1790,5725,10561,4188,47630,17032,2943,41119,4181,6432,17271,1446
"ENSMUSG00000000787",715,565,615,1002,597,432,727,1305,587,1293,2079,876,7180,2352,755,5128,1115,1307,2948,434
"ENSMUSG00000000791",27,18,22,13,29,2,32,80,8,33,23,25,151,42,2,163,20,25,38,11
"ENSMUSG00000000792",1,1,0,0,5,0,0,0,1,0,0,2,11,4,11,1,0,1,0,0
"ENSMUSG00000000794",37,27,10,11,30,46,2,61,47,137,91,29,329,158,42,234,39,59,32,20
"ENSMUSG00000000804",111,154,95,94,83,69,112,267,152,151,265,243,691,296,39,616,207,159,228,41
"ENSMUSG00000000805",14,13,17,69,1,44,12,46,32,5,44,18,129,20,31,138,9,14,5,48
"ENSMUSG00000000811",23,1,3,22,2,11,6,54,20,50,29,22,207,38,4,88,14,25,107,0
"ENSMUSG00000000817",0,0,1,7,13,0,12,34,0,14,14,8,51,1,0,23,7,0,7,0
"ENSMUSG00000000823",24,25,50,80,33,1,28,31,9,64,123,74,588,154,60,455,37,32,201,35
"ENSMUSG00000000826",335,206,291,477,210,189,357,717,322,729,954,454,4094,1120,251,3587,535,583,1298,176
"ENSMUSG00000000827",194,234,147,562,107,233,238,467,99,323,526,270,2610,747,230,1696,150,376,493,133
"ENSMUSG00000000838",356,306,429,383,288,237,247,494,316,424,665,492,2369,995,484,1453,541,566,1047,292
"ENSMUSG00000000861",78,133,89,102,53,43,47,104,26,247,124,75,570,169,28,333,41,50,108,8
"ENSMUSG00000000869",8,8,0,0,0,0,3,0,0,0,2,0,5,2,0,0,0,0,0,0
