"","Mmus_C57-6J_LVR_DI_1y_Rep1","Mmus_C57-6J_LVR_DI_1y_Rep2","Mmus_C57-6J_LVR_DI_1y_Rep3","Mmus_C57-6J_LVR_LN2_1y_Rep1","Mmus_C57-6J_LVR_LN2_1y_Rep2","Mmus_C57-6J_LVR_LN2_1y_Rep3","Mmus_C57-6J_LVR_LN2_3d_Rep1","Mmus_C57-6J_LVR_LN2_3d_Rep2","Mmus_C57-6J_LVR_LN2_3d_Rep3"
"ENSMUSG00000001128",560,816,611,2153,702,682,619,712,886
"ENSMUSG00000001131",2,2,0,1,5,3,0,3,0
"ENSMUSG00000001134",360.83,342,297.18,422,301.25,260,322.79,388.99,356.47
"ENSMUSG00000001138",514.97,502,503.51,645.94,499.21,536.57,700.78,514.51,535.75
"ENSMUSG00000001143",451,421,466,530,511,566,598,340,427
"ENSMUSG00000001150",492,566,554,574,485,567,820,558,567
"ENSMUSG00000001151",310.22,349.27,235.26,375.3,292.33,305,520.89,406.43,363.49
"ENSMUSG00000001155",8358,8231,7058,10403,6637,6550,8678,10323,9241
"ENSMUSG00000001156",126,83,139,303,154,124,202,121,150
"ENSMUSG00000001157",313,359,248,353,293,252,404,285,296
"ENSMUSG00000001158",497,476,413,669,392,384,368,477,425
"ENSMUSG00000001166",48,28,25,49,40,31,45,28,33
"ENSMUSG00000001168",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",187,211,183,252,200,202,294,174,217
"ENSMUSG00000001175",5123,6113,5826,7076,4767,5137,5714,4820,5400
"ENSMUSG00000001211",7135,6650,6090,7645,7226,8611,7559,6647,6021
"ENSMUSG00000001225",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001227",152,96,86,181,86,174,126,166,84
"ENSMUSG00000001228",12,96,26,56,25,12,9,8,71
"ENSMUSG00000001229",1933,2126,2046,2232,1874,2047,2615,1594,1709
"ENSMUSG00000001240",135,173.79,140,265.09,139,168,185,232.55,226
"ENSMUSG00000001247",7645,7598,7277,10758,7746,6284,6050,6277,6502
"ENSMUSG00000001248",221,244,161,260,250,179,299,227,201
"ENSMUSG00000001249",11485,9437,8807,12235,10502,9916,10263,11578,10748
"ENSMUSG00000001260",0,0,0,0,0,1,0,0,0
"ENSMUSG00000001270",128,170,135,243,122,125,146,177,202
"ENSMUSG00000001280",1102,1175,978,1428,1085,1235,1730,992,1175
"ENSMUSG00000001281",78,77,64,88,43,75,76,57,52
"ENSMUSG00000001285",470.38,413.68,430.32,516.36,458.04,355.37,429.9,483.19,485.98
"ENSMUSG00000001288",131,228,181,298,221,192,242,254,236
"ENSMUSG00000001289",1786.2,1662.95,1484.04,2428.21,1598.26,1478.54,1237.71,1906.01,1555.22
"ENSMUSG00000001300",78,116,122,221,73,116,107,112,122
"ENSMUSG00000001305",169,213,231,338,190,172,207,271,198
"ENSMUSG00000001313",474,658,371,674,403,336,347.88,368,451
"ENSMUSG00000001323",2783,3280,2953,3411,2626,3332,4511,3545,3569
"ENSMUSG00000001333",0,1,1,0,0,1,0,3,0
"ENSMUSG00000001334",8,13,14,54,10,13,11,35,17
"ENSMUSG00000001348",3167,3041,3030,4348,2839,3149,2945,3973,3271
"ENSMUSG00000001349",7,2,10,24,1,24,0,11,1
"ENSMUSG00000001366",1144,1307,1179,1453,1149,1276,1407,1404,1197
"ENSMUSG00000001376",194,200,216,318,201,252,285,246,181
"ENSMUSG00000001380",754,1009,928,1186,766,734,874,1064,858
"ENSMUSG00000001383",1162,1112,939,1547,975,916,965,1150,1062
"ENSMUSG00000001403",23,168,28,33,33,20,29,10,91
"ENSMUSG00000001415",623,786,742,776,669,712,764,976,628
"ENSMUSG00000001416",2225,2622,2391,3160,2143.99,2259,2355.97,2266,2425
"ENSMUSG00000001418",2015,1752,1679,2287,1852,1765,1576,1713,1632
"ENSMUSG00000001419",900,1198,872,1267,932,955,1039,1162,850
"ENSMUSG00000001420",42,43,40,54,46,56,84,52,38
"ENSMUSG00000001424",3148,4217,3622,4061,3103,2878,4258,3689,3793
"ENSMUSG00000001435",35988,35967,35971,45772,38477,38891,41651,29030,34210
"ENSMUSG00000001436",111,90,79,166,118,132,129,115,90
"ENSMUSG00000001440",2766,4283,4035,4441,3046,3183,4315,3020,3544
"ENSMUSG00000001441",791,923,874,1201,859,811,962,1078,904
"ENSMUSG00000001444",24,22,20,19,17,15,3,11,13
"ENSMUSG00000001445",1287,1352,1221,1517,1118,1286,1306.99,1410.99,1293
"ENSMUSG00000001467",6366,5148,4744.65,5302,4562,3408,7147.85,3792,7188
"ENSMUSG00000001472",3375,3601,3741,4449,3411,3435,4035,3751,3641
"ENSMUSG00000001473",125,315,215,272,175,211.07,226,152,251
"ENSMUSG00000001482",1334,1312,1193,1418,1123,1363,1504,1318,1269
"ENSMUSG00000001493",4,15,21,14,13,1,3,8,10
"ENSMUSG00000001494",0,0,0,1,0,3,0,1,3
"ENSMUSG00000001496",0,0,1,0,0,0,0,0,0
"ENSMUSG00000001497",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001504",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001506",86,111,139,311,169,365,243,104,187
"ENSMUSG00000001507",259,287,338,341,251,254,391,216,247
"ENSMUSG00000001508",0,0,0,0,0,0,0,0,2
"ENSMUSG00000001510",0,0,0,0,0,0,0,0,0
"ENSMUSG00000001517",19,90.95,17,21,21,21,31,8,35
"ENSMUSG00000001518",205,221,208,288,210,170,189,263,203
